X,Y,Z,Weight,State
-0.486109,1.766797,50.000000,0.836017,DETECTED
0.033140,0.144959,50.000000,0.980296,DETECTED
4.384531,4.914538,50.000000,0.404348,DETECTED
-2.134792,1.892558,50.000000,0.852821,DETECTED
-2.081934,-0.423205,50.000000,0.942045,DETECTED
1.604912,-4.409261,50.000000,0.671653,DETECTED
0.424383,1.032412,50.000000,0.960980,DETECTED
-0.127247,0.905327,50.000000,0.803396,DETECTED
-0.598868,-0.433694,50.000000,0.914340,DETECTED
5.027531,8.285903,50.000000,0.277040,DETECTED
-0.553203,0.368506,50.000000,0.844378,DETECTED
1.992898,0.417277,50.000000,0.960980,DETECTED
-0.434783,-0.409691,50.000000,0.960980,DETECTED
-0.508721,-0.125298,50.000000,0.980296,DETECTED
-0.450998,0.000495,50.000000,0.980296,DETECTED
-4.211222,1.398943,50.000000,0.528971,DETECTED
-0.797585,0.830886,50.000000,0.942045,DETECTED
-0.233194,-0.027049,50.000000,0.932718,DETECTED
1.127408,-1.831830,50.000000,0.836017,DETECTED
3.294191,2.325282,50.000000,0.651900,DETECTED
0.004881,-0.350110,50.000000,0.932718,DETECTED
1.675907,2.392564,50.000000,0.764404,DETECTED
-1.469413,-3.521144,50.000000,0.779769,DETECTED
2.928484,2.968613,50.000000,0.143659,DETECTED
-0.042506,0.952009,50.000000,0.942045,DETECTED
0.037653,-0.030534,50.000000,0.970590,DETECTED
0.490982,0.225911,50.000000,0.970590,DETECTED
-0.795696,4.236366,50.000000,0.567129,DETECTED
7.123913,14.696751,40.271500,0.000000,TERMINATED
1.141837,2.005703,50.000000,0.905287,DETECTED
-6.232539,-12.370371,34.453747,0.000000,TERMINATED
-3.582087,-0.421020,50.000000,0.442229,DETECTED
0.378684,0.806565,50.000000,0.923483,DETECTED
-16.469416,19.782127,31.433243,0.000000,TERMINATED
5.824661,-11.102889,34.393185,0.000000,TERMINATED
0.393883,3.955524,50.000000,0.705914,DETECTED
-0.015080,0.672281,50.000000,0.951466,DETECTED
0.064836,-0.187569,50.000000,0.951466,DETECTED
1.909777,0.253463,50.000000,0.896324,DETECTED
0.521205,-0.036677,50.000000,0.970590,DETECTED
0.121096,-0.193907,50.000000,0.980296,DETECTED
-1.057318,1.131418,50.000000,0.150987,DETECTED
-0.026075,-2.621772,50.000000,0.896324,DETECTED
0.447028,0.404514,50.000000,0.795442,DETECTED
-0.369949,0.444925,50.000000,0.852821,DETECTED
0.222706,0.075890,50.000000,0.980296,DETECTED
-6.148877,3.426953,50.000000,0.004593,DETECTED
-0.769962,0.073494,50.000000,0.942045,DETECTED
6.537426,2.447935,43.069801,0.000000,TERMINATED
-0.879394,-0.776478,50.000000,0.795442,DETECTED
0.002787,0.569293,50.000000,0.951466,DETECTED
-0.323935,-0.537090,50.000000,0.951466,DETECTED
-2.893272,-2.417465,50.000000,0.705914,DETECTED
0.775955,-0.461707,50.000000,0.942045,DETECTED
-1.665237,1.233539,50.000000,0.914340,DETECTED
0.194730,0.010599,50.000000,0.980296,DETECTED
-0.606639,-0.300330,50.000000,0.869963,DETECTED
-0.005283,-0.001094,50.000000,0.980296,DETECTED
-3.074086,-1.239439,50.000000,0.741923,DETECTED
0.239666,-2.872898,50.000000,0.734577,DETECTED
-0.734210,6.271232,31.450750,0.000000,TERMINATED
-0.436209,1.609805,50.000000,0.819544,DETECTED
-1.227953,-1.039199,50.000000,0.692005,DETECTED
-0.218226,0.186139,50.000000,0.951466,DETECTED
-1.680253,0.528142,50.000000,0.914340,DETECTED
-0.171873,-0.743604,50.000000,0.819544,DETECTED
-0.145748,0.549965,50.000000,0.923483,DETECTED
1.899349,5.575672,50.000000,0.020638,DETECTED
1.030499,0.475877,50.000000,0.692005,DETECTED
-12.061216,-4.093735,20.536604,0.000000,TERMINATED
-1.706998,4.173608,50.000000,0.157117,DETECTED
0.590183,-0.474436,50.000000,0.970590,DETECTED
-0.272081,0.035707,50.000000,0.980296,DETECTED
