X,Y,Z,Weight,State
0.283250,-1.051385,50.000000,0.001953,DETECTED
0.386843,-0.012579,47.437477,0.000000,TERMINATED
-1.461477,-0.472919,49.735817,0.000000,TERMINATED
-0.643735,-1.356068,47.631413,0.000000,TERMINATED
-0.084286,-0.126392,50.000000,0.250000,DETECTED
2.287035,0.532522,49.287807,0.000000,TERMINATED
-0.124693,-0.153775,50.000000,0.007812,DETECTED
-0.294218,-1.933605,48.682175,0.000000,TERMINATED
0.026420,0.004796,50.000000,0.125000,DETECTED
0.963614,0.656299,47.046131,0.000000,TERMINATED
-2.411936,0.361279,47.474979,0.000000,TERMINATED
-2.031408,0.257944,49.948978,0.000000,TERMINATED
0.888512,-1.509975,48.604927,0.000000,TERMINATED
-0.762580,0.199588,50.000000,0.007812,DETECTED
-1.331383,-0.222041,48.761337,0.000000,TERMINATED
-1.404884,0.905922,49.721302,0.000000,TERMINATED
1.003163,-0.291071,50.000000,0.000977,DETECTED
0.677324,-0.864579,49.093987,0.000000,TERMINATED
-1.073896,-0.519542,50.000000,0.015625,DETECTED
0.347584,-0.306492,50.000000,0.125000,DETECTED
-0.352524,-0.362093,50.000000,0.062500,DETECTED
-0.075591,0.133415,48.148247,0.000000,TERMINATED
-0.235211,0.680699,50.000000,0.001953,DETECTED
1.033548,-0.517684,49.679390,0.000000,TERMINATED
0.229911,-0.755050,50.000000,0.125000,DETECTED
-0.105334,0.681445,47.846832,0.000000,TERMINATED
-2.601852,-0.701022,48.695522,0.000000,TERMINATED
-1.458611,-0.156648,49.175659,0.000000,TERMINATED
-0.324216,0.040130,50.000000,0.125000,DETECTED
0.763049,-0.489429,50.000000,0.062500,DETECTED
1.774787,-1.495701,49.210678,0.000000,TERMINATED
0.423637,0.689043,50.000000,0.001953,DETECTED
-0.012267,-0.165318,50.000000,0.003906,DETECTED
-0.777301,1.049606,50.000000,0.003906,DETECTED
0.229278,-0.121768,50.000000,0.250000,DETECTED
-0.728023,1.411715,50.000000,0.001953,DETECTED
2.688478,-0.370918,50.000000,0.000977,DETECTED
0.242609,1.244591,50.000000,0.007812,DETECTED
0.410165,0.193032,50.000000,0.007812,DETECTED
-0.088898,-0.575615,50.000000,0.015625,DETECTED
0.349132,-0.050196,48.649231,0.000000,TERMINATED
0.399383,-2.563300,47.553013,0.000000,TERMINATED
1.356450,1.897606,50.000000,0.003906,DETECTED
1.131466,1.782847,49.719574,0.000000,TERMINATED
-0.045163,2.229018,47.982231,0.000000,TERMINATED
0.398057,0.123850,50.000000,0.001953,DETECTED
0.099862,-0.769527,50.000000,0.000977,DETECTED
0.513445,-0.353618,50.000000,0.125000,DETECTED
-0.121468,-0.096215,50.000000,0.250000,DETECTED
-1.920922,-0.003377,46.995647,0.000000,TERMINATED
0.165278,-0.503381,50.000000,0.000244,DETECTED
-1.705828,-0.497263,50.000000,0.015625,DETECTED
1.190267,1.166656,50.000000,0.015625,DETECTED
1.435658,-1.868615,46.608467,0.000000,TERMINATED
0.103945,0.073203,50.000000,0.000122,DETECTED
-0.343370,-0.340589,49.636421,0.000000,TERMINATED
-0.138038,-0.032965,50.000000,0.250000,DETECTED
-0.499897,0.293416,49.326851,0.000000,TERMINATED
1.901429,-0.444781,49.096535,0.000000,TERMINATED
-0.054597,-0.055983,50.000000,0.250000,DETECTED
0.599189,-0.531042,48.180748,0.000000,TERMINATED
0.538011,0.883675,50.000000,0.031250,DETECTED
1.197960,1.068296,49.178200,0.000000,TERMINATED
0.791549,0.331147,50.000000,0.001953,DETECTED
-0.010207,-0.003872,50.000000,0.015625,DETECTED
-0.761162,-0.353604,50.000000,0.007812,DETECTED
0.102882,0.266168,50.000000,0.250000,DETECTED
-0.806386,1.008097,49.349293,0.000000,TERMINATED
-1.283245,0.041419,50.000000,0.007812,DETECTED
-1.678265,-0.228438,47.210720,0.000000,TERMINATED
-0.186145,1.632004,47.671738,0.000000,TERMINATED
0.898484,-1.995152,48.693218,0.000000,TERMINATED
-0.690304,-1.132208,49.560257,0.000000,TERMINATED
-0.450764,-0.661956,49.075764,0.000000,TERMINATED
-0.030764,0.431442,50.000000,0.250000,DETECTED
-0.069808,-0.338923,50.000000,0.003906,DETECTED
-0.130902,-0.814189,50.000000,0.015625,DETECTED
-0.041162,0.009369,50.000000,0.250000,DETECTED
-0.377643,-0.723223,48.595501,0.000000,TERMINATED
0.058609,-0.503957,50.000000,0.062500,DETECTED
0.016599,0.020017,50.000000,0.125000,DETECTED
0.014457,0.043629,50.000000,0.250000,DETECTED
