X,Y,Z,Weight,State
-0.688388,0.092987,1.000000,0.767962,DETECTED
0.135230,-0.003848,1.000000,0.927342,DETECTED
0.001765,0.003857,1.000000,0.990615,DETECTED
0.022301,-0.000787,1.000000,0.990615,DETECTED
-0.341716,0.123011,1.000000,0.758379,DETECTED
-0.065219,-0.077875,1.000000,0.910018,DETECTED
-0.012047,-0.084371,1.000000,0.910018,DETECTED
0.047137,-0.026806,1.000000,0.981318,DETECTED
0.046460,0.083769,1.000000,0.953948,DETECTED
-0.010314,-0.019501,1.000000,0.972109,DETECTED
-0.022337,0.011209,1.000000,0.893017,DETECTED
0.429975,0.008091,1.000000,0.720915,DETECTED
-0.107266,0.032912,1.000000,0.953948,DETECTED
0.192921,-0.265673,1.000000,0.443804,DETECTED
0.453196,-0.011146,1.000000,0.291626,DETECTED
0.076111,0.162669,1.000000,0.812662,DETECTED
0.017854,0.026021,1.000000,0.918639,DETECTED
0.010919,0.011059,1.000000,0.990615,DETECTED
0.023084,0.030995,1.000000,0.790445,DETECTED
-0.147881,-0.302747,1.000000,0.732596,DETECTED
-0.057198,0.044028,1.000000,0.972109,DETECTED
-0.003081,-0.085547,1.000000,0.893017,DETECTED
0.039714,-0.071232,1.000000,0.962986,DETECTED
-0.203626,-0.270709,1.000000,0.918639,DETECTED
0.010656,0.007352,1.000000,0.981318,DETECTED
-0.001026,0.004876,1.000000,0.990615,DETECTED
0.080207,-0.187103,1.000000,0.797480,DETECTED
0.080280,-0.229005,1.000000,0.828132,DETECTED
-0.001443,-0.044063,1.000000,0.944996,DETECTED
-0.035626,-0.066191,1.000000,0.828132,DETECTED
-0.004793,-0.001957,1.000000,0.990615,DETECTED
-1.063456,-0.882691,-0.008339,0.086935,ESCAPED
0.083672,0.034088,1.000000,0.644041,DETECTED
0.166872,0.131882,1.000000,0.901478,DETECTED
0.234444,-0.022800,1.000000,0.876334,DETECTED
0.037019,-0.035995,1.000000,0.972109,DETECTED
-0.324128,-0.148139,1.000000,0.705480,DETECTED
-0.000782,-0.058421,1.000000,0.981318,DETECTED
-0.035727,-0.076974,-0.000050,0.794567,ESCAPED
0.543507,0.440166,1.000000,0.488682,DETECTED
-0.214758,-0.212931,1.000000,0.859963,DETECTED
-0.014425,0.313083,1.031581,0.893017,ESCAPED
-0.074512,-0.013263,1.000000,0.962986,DETECTED
0.054109,0.019744,1.000000,0.893017,DETECTED
1.181170,-1.272342,1.122867,0.319076,ESCAPED
-0.293854,0.252824,1.000000,0.820361,DETECTED
0.000583,-0.000103,1.000000,0.990615,DETECTED
0.088545,-0.317923,1.000000,0.588844,DETECTED
-0.345063,0.367498,1.000000,0.647069,DETECTED
0.275844,0.817445,1.000000,0.649263,DETECTED
-0.049392,0.044843,1.000000,0.910018,DETECTED
-0.125484,0.053559,1.000000,0.317019,DETECTED
-0.205367,0.105889,1.000000,0.936127,DETECTED
-0.311827,0.186506,1.000000,0.843898,DETECTED
0.019061,0.003875,1.000000,0.981318,DETECTED
