X,Y,Z,Weight,State
0.023983,0.000730,10.000000,0.905287,DETECTED
-0.012158,-0.014962,10.000000,0.970590,DETECTED
-0.006280,0.012988,10.000000,0.923483,DETECTED
0.000875,0.004539,10.000000,0.878663,DETECTED
0.010263,-0.012673,10.000000,0.970590,DETECTED
0.380749,0.210281,9.660537,0.000000,TERMINATED
0.070453,0.197840,9.755098,0.000000,TERMINATED
-0.005818,0.012386,10.000000,0.942045,DETECTED
-0.005114,-0.001776,10.000000,0.970590,DETECTED
0.007612,-0.006081,10.000000,0.951466,DETECTED
0.001570,-0.002254,10.000000,0.980296,DETECTED
0.001489,0.000756,10.000000,0.970590,DETECTED
-0.011175,0.002991,10.000000,0.942045,DETECTED
-0.076496,-0.033978,10.000000,0.932718,DETECTED
0.142962,0.138144,10.000000,0.075991,DETECTED
0.037787,0.009361,10.000000,0.960980,DETECTED
0.442061,-0.137072,9.739174,0.000000,TERMINATED
0.000433,0.000359,10.000000,0.970590,DETECTED
-0.004840,-0.020765,10.000000,0.869963,DETECTED
0.004623,0.014951,10.000000,0.970590,DETECTED
-0.000145,-0.000936,10.000000,0.980296,DETECTED
-0.035084,0.020940,10.000000,0.282609,DETECTED
0.064381,-0.051163,10.000000,0.112021,DETECTED
-0.008174,-0.017557,10.000000,0.827740,DETECTED
0.016458,0.002700,10.000000,0.960980,DETECTED
-0.017918,0.002325,10.000000,0.914340,DETECTED
-0.000774,0.000989,10.000000,0.980296,DETECTED
-0.006925,-0.042520,10.000000,0.795442,DETECTED
0.000686,0.003536,10.000000,0.896324,DETECTED
-0.288482,-0.083271,9.527097,0.000000,TERMINATED
0.000701,0.028439,10.000000,0.749342,DETECTED
-0.009390,0.005271,10.000000,0.869963,DETECTED
0.048864,-0.012826,10.000000,0.608039,DETECTED
0.003176,-0.001451,10.000000,0.970590,DETECTED
-0.040914,-0.010013,10.000000,0.932718,DETECTED
-0.019524,-0.058172,10.000000,0.442229,DETECTED
0.017601,-0.013010,10.000000,0.896324,DETECTED
-0.016653,0.000453,10.000000,0.932718,DETECTED
0.003224,-0.001223,10.000000,0.905287,DETECTED
0.001237,-0.001570,10.000000,0.970590,DETECTED
-0.000890,0.003640,10.000000,0.951466,DETECTED
-0.032130,-0.006840,10.000000,0.852821,DETECTED
-0.002124,-0.050589,10.000000,0.905287,DETECTED
0.060458,0.049003,10.000000,0.685153,DETECTED
-0.462800,-0.032371,9.788645,0.000000,TERMINATED
-0.020208,0.016486,10.000000,0.148012,DETECTED
