X,Y,Z,WEIGHT,STATE
4.615380,2.098773,10.000000,0.292287,ESCAPED
-0.048970,-0.086755,10.000000,0.970590,ESCAPED
-0.556821,1.040556,10.000000,0.960980,ESCAPED
-0.493379,0.191472,10.000000,0.970590,ESCAPED
-0.060706,0.039766,10.000000,0.980296,ESCAPED
-3.575131,1.738847,10.000000,0.536144,ESCAPED
1.169703,-2.439059,10.000000,0.764404,ESCAPED
-2.319838,-0.479156,10.000000,0.685153,ESCAPED
0.062426,-0.209081,10.000000,0.960980,ESCAPED
0.173423,2.002529,10.000000,0.905287,ESCAPED
0.096059,0.839281,10.000000,0.914340,ESCAPED
-0.352670,0.325735,10.000000,0.869963,ESCAPED
1.309997,5.301349,6.270262,0.000000,DETECTED
-1.009910,3.155151,10.000000,0.000665,ESCAPED
0.293067,0.062864,10.000000,0.960980,ESCAPED
1.413372,4.910472,10.000000,0.698925,ESCAPED
-0.002303,0.079864,10.000000,0.980296,ESCAPED
-0.076674,1.317341,10.000000,0.932718,ESCAPED
0.354354,-1.271239,10.000000,0.942045,ESCAPED
-1.921416,-0.720944,10.000000,0.811430,ESCAPED
-1.757616,-0.269405,10.000000,0.852821,ESCAPED
0.123959,-0.342928,10.000000,0.980296,ESCAPED
1.190983,8.275538,10.000000,0.058947,ESCAPED
-0.383998,0.798576,10.000000,0.942045,ESCAPED
0.402707,0.292607,10.000000,0.970590,ESCAPED
1.323239,0.605654,10.000000,0.527273,ESCAPED
1.813720,-1.511451,6.749118,0.000000,DETECTED
-0.834997,1.549442,10.000000,0.749342,ESCAPED
-3.529447,0.499353,10.000000,0.861350,ESCAPED
0.072213,0.073161,10.000000,0.905287,ESCAPED
0.229734,-0.522887,10.000000,0.951466,ESCAPED
0.554492,-0.756343,10.000000,0.692005,ESCAPED
0.900168,-1.363187,10.000000,0.905287,ESCAPED
-0.072533,0.495895,10.000000,0.951466,ESCAPED
0.315907,0.252866,10.000000,0.787566,ESCAPED
-1.666831,0.832947,10.000000,0.923483,ESCAPED
-0.260563,1.082600,10.000000,0.869963,ESCAPED
0.763145,0.190895,10.000000,0.475801,ESCAPED
4.149052,-0.031366,10.000000,0.009053,ESCAPED
1.254386,0.718253,10.000000,0.836017,ESCAPED
-0.111770,0.237835,10.000000,0.923483,ESCAPED
-0.124708,0.051487,10.000000,0.951466,ESCAPED
-1.027540,-0.713419,10.000000,0.932718,ESCAPED
-0.323035,-0.621676,10.000000,0.960980,ESCAPED
-3.983288,-1.228182,10.000000,0.612148,ESCAPED
-0.313231,0.243980,10.000000,0.980296,ESCAPED
-0.410274,0.669644,10.000000,0.942045,ESCAPED
-0.145524,-0.293450,10.000000,0.932718,ESCAPED
0.626743,-0.578261,10.000000,0.852821,ESCAPED
0.405241,-0.119448,10.000000,0.942045,ESCAPED
-2.824612,-0.776098,3.747914,0.000000,DETECTED
0.036082,-0.009678,10.000000,0.980296,ESCAPED
2.779321,-0.847602,10.000000,0.861350,ESCAPED
-0.047070,0.867900,10.000000,0.980296,ESCAPED
-1.324217,2.118098,4.593644,0.000000,DETECTED
-0.017928,0.088284,10.000000,0.980296,ESCAPED
