X,Y,Z,WEIGHT,STATE
-1.875439,0.685694,50.000000,0.373408,DETECTED
2.820642,-0.330366,50.000000,0.712973,DETECTED
0.276546,0.260723,50.000000,0.914340,DETECTED
-0.046261,-0.018608,50.000000,0.980296,DETECTED
1.178657,-0.309248,50.000000,0.513414,DETECTED
-1.240418,-0.161956,50.000000,0.951466,DETECTED
0.609589,-0.764298,50.000000,0.734577,DETECTED
-1.087993,-1.021000,50.000000,0.942045,DETECTED
0.216523,-0.477419,50.000000,0.914340,DETECTED
-0.060070,-0.669429,50.000000,0.970590,DETECTED
1.682135,-4.323307,50.000000,0.608039,DETECTED
2.084556,-0.185713,50.000000,0.844378,DETECTED
-3.139199,0.579540,50.000000,0.720103,DETECTED
-0.472104,0.012920,50.000000,0.980296,DETECTED
-4.308002,-6.155619,50.000000,0.001392,DETECTED
-1.345454,0.134551,50.000000,0.951466,DETECTED
-0.168023,0.053604,50.000000,0.970590,DETECTED
2.217758,0.027362,50.000000,0.861350,DETECTED
-1.941852,1.171460,50.000000,0.887449,DETECTED
-0.511600,-1.138575,50.000000,0.942045,DETECTED
0.139903,0.383988,50.000000,0.932718,DETECTED
4.397835,0.116520,50.000000,0.429223,DETECTED
0.016732,0.147337,50.000000,0.980296,DETECTED
-3.715203,-8.840804,50.095421,0.095534,ESCAPED
-3.282844,-3.541142,50.000000,0.318451,DETECTED
-1.430001,-0.523199,50.000000,0.639055,DETECTED
-0.145036,0.036195,50.000000,0.970590,DETECTED
0.304426,-0.504124,50.000000,0.942045,DETECTED
0.564061,-0.664779,50.000000,0.970590,DETECTED
0.597562,12.945955,36.623741,0.000000,TERMINATED
-1.416169,-0.021068,50.000000,0.869963,DETECTED
-0.182406,0.935963,50.000000,0.960980,DETECTED
2.292881,-10.101682,35.762608,0.000000,TERMINATED
-0.631048,0.224970,50.000000,0.951466,DETECTED
-6.765863,11.671247,35.986179,0.000000,TERMINATED
0.442089,0.597695,50.000000,0.639055,DETECTED
0.142026,-0.176884,50.000000,0.923483,DETECTED
0.009073,-0.010680,50.000000,0.980296,DETECTED
0.209651,1.270721,50.000000,0.970590,DETECTED
0.063680,-0.430923,50.000000,0.923483,DETECTED
7.038897,-2.593204,50.000000,0.250801,DETECTED
-1.409523,0.801351,50.000000,0.626463,DETECTED
1.914242,-1.600212,50.000000,0.000196,DETECTED
0.012701,0.553572,50.000000,0.970590,DETECTED
0.055734,0.108434,50.000000,0.960980,DETECTED
-0.434560,0.984499,50.000000,0.869963,DETECTED
-17.229210,-4.546034,41.344967,0.000000,TERMINATED
-0.196968,-0.095569,50.000000,0.980296,DETECTED
1.226960,-2.469476,50.000000,0.078294,DETECTED
0.357037,-0.282063,50.000000,0.960980,DETECTED
4.746452,0.033970,50.000000,0.380914,DETECTED
0.524901,1.106895,50.000000,0.878663,DETECTED
0.071768,-0.919006,50.000000,0.970590,DETECTED
-0.065574,-0.532541,50.000000,0.942045,DETECTED
0.211751,-0.710525,50.000000,0.960980,DETECTED
-0.571623,0.828781,50.000000,0.960980,DETECTED
1.394120,-0.143031,50.000000,0.932718,DETECTED
0.491178,-0.413270,50.000000,0.970590,DETECTED
0.900601,0.714874,50.000000,0.861350,DETECTED
2.066404,-14.650846,28.000616,0.000000,TERMINATED
0.625084,-0.736192,50.000000,0.942045,DETECTED
-0.963358,-0.854700,50.000000,0.836017,DETECTED
1.181362,0.822891,50.000000,0.878663,DETECTED
-0.033865,-0.087649,50.000000,0.980296,DETECTED
-1.378294,-8.257764,50.000000,0.231610,DETECTED
-21.568707,10.822418,37.915127,0.000000,TERMINATED
1.492891,-2.036208,50.000000,0.869963,DETECTED
-0.833303,-0.018379,50.000000,0.970590,DETECTED
-1.238338,0.925258,50.000000,0.942045,DETECTED
3.071041,1.557388,50.000000,0.602019,DETECTED
0.478913,-1.119232,50.000000,0.951466,DETECTED
-0.157609,0.963549,50.000000,0.960980,DETECTED
-0.452252,-0.231256,50.000000,0.923483,DETECTED
0.019195,0.003387,50.000000,0.980296,DETECTED
-11.801651,16.792484,36.258266,0.000000,TERMINATED
-0.090354,-0.059061,50.000000,0.980296,DETECTED
-0.596803,-0.618861,50.000000,0.951466,DETECTED
0.176440,0.435313,50.000000,0.980296,DETECTED
1.478818,-5.246564,50.000000,0.836017,DETECTED
-1.042912,14.040965,39.330978,0.000000,TERMINATED
-0.124567,1.109270,50.000000,0.923483,DETECTED
0.880368,-0.590738,50.000000,0.914340,DETECTED
1.037634,-0.051968,50.000000,0.914340,DETECTED
0.953035,-0.308290,50.000000,0.970590,DETECTED
0.026072,-0.263781,50.000000,0.951466,DETECTED
4.822845,-2.118573,50.000000,0.469435,DETECTED
-1.199642,6.078667,50.000000,0.011821,DETECTED
0.835373,-0.267810,50.000000,0.896324,DETECTED
0.171022,1.130983,50.000000,0.942045,DETECTED
-1.307010,-1.322953,50.000000,0.942045,DETECTED
-0.174962,-0.116201,50.000000,0.980296,DETECTED
-0.504667,-0.324063,50.000000,0.970590,DETECTED
5.120860,-4.114811,50.000000,0.007117,DETECTED
0.161531,0.564623,50.000000,0.942045,DETECTED
