X,Y,Z,Weight,State
0.546295,0.320370,49.307209,0.000000,TERMINATED
-0.011050,-0.383569,50.000000,0.008264,DETECTED
0.277114,-0.544243,49.296074,0.000000,TERMINATED
0.793942,0.185064,48.376987,0.000000,TERMINATED
-0.027156,0.038109,50.000000,0.008264,DETECTED
-0.346991,0.643781,48.694553,0.000000,TERMINATED
-0.270975,0.623942,49.923550,0.000000,TERMINATED
-0.326822,0.205966,49.776546,0.000000,TERMINATED
1.086583,0.212940,50.000000,0.000068,DETECTED
-0.499228,1.103320,48.250824,0.000000,TERMINATED
0.293094,-0.064149,49.113941,0.000000,TERMINATED
0.162711,0.037052,50.000000,0.008264,DETECTED
0.079230,-0.019439,50.000000,0.000751,DETECTED
-0.234251,0.464511,50.000000,0.008264,DETECTED
0.541998,-0.494451,49.474228,0.000000,TERMINATED
-0.400905,0.042621,49.341820,0.000000,TERMINATED
0.318121,-0.272584,50.000000,0.008264,DETECTED
-0.966815,0.995347,49.701855,0.000000,TERMINATED
-0.774226,0.506981,50.000000,0.000751,DETECTED
1.031579,-0.143150,49.052608,0.000000,TERMINATED
-0.162654,-0.784222,48.645260,0.000000,TERMINATED
0.237829,-0.096924,50.000000,0.008264,DETECTED
-0.189068,-0.105231,48.424484,0.000000,TERMINATED
-0.796086,0.750416,49.315662,0.000000,TERMINATED
-0.365875,0.064278,49.923412,0.000000,TERMINATED
0.309001,0.790175,49.706814,0.000000,TERMINATED
0.533508,-0.452927,49.149223,0.000000,TERMINATED
0.511087,-1.001533,48.668091,0.000000,TERMINATED
-0.416524,0.294935,49.130829,0.000000,TERMINATED
0.181507,-0.017922,50.000000,0.008264,DETECTED
-0.039561,-0.090088,50.000000,0.008264,DETECTED
-0.300249,-0.250573,48.997597,0.000000,TERMINATED
-0.768653,-0.001418,49.499332,0.000000,TERMINATED
-0.004184,0.048860,50.000000,0.008264,DETECTED
0.862825,-0.385728,49.494507,0.000000,TERMINATED
0.150268,0.167849,50.000000,0.000751,DETECTED
-0.397039,-0.015173,49.843506,0.000000,TERMINATED
0.723419,0.859872,49.616570,0.000000,TERMINATED
-0.504728,0.340687,50.000000,0.000068,DETECTED
-0.021008,0.027754,47.821316,0.000000,TERMINATED
-0.639926,0.097833,50.000000,0.000068,DETECTED
0.772590,0.209009,50.000000,0.000068,DETECTED
-0.410311,-0.502496,49.960632,0.000000,TERMINATED
-1.280280,0.120745,48.460289,0.000000,TERMINATED
-0.145092,0.522098,48.866669,0.000000,TERMINATED
0.242327,0.253774,49.924030,0.000000,TERMINATED
-1.143102,0.637074,49.320793,0.000000,TERMINATED
-0.411609,0.540883,47.638630,0.000000,TERMINATED
0.529362,-0.369275,48.925964,0.000000,TERMINATED
-0.004561,0.995376,49.493084,0.000000,TERMINATED
0.147752,-0.084050,49.694756,0.000000,TERMINATED
-0.461440,0.531366,49.922585,0.000000,TERMINATED
-0.620998,0.871827,48.142403,0.000000,TERMINATED
-0.434814,0.258952,50.000000,0.000751,DETECTED
0.372776,-0.360981,48.998020,0.000000,TERMINATED
1.206980,-0.888769,48.928528,0.000000,TERMINATED
-0.289135,-1.008959,48.156479,0.000000,TERMINATED
0.283327,-1.028870,49.136993,0.000000,TERMINATED
-0.008072,0.756788,49.836060,0.000000,TERMINATED
-0.044185,0.279507,49.655579,0.000000,TERMINATED
0.531818,-0.026170,49.253063,0.000000,TERMINATED
-0.558883,0.740257,48.697975,0.000000,TERMINATED
0.863814,-0.219983,48.825653,0.000000,TERMINATED
-0.049018,-0.749810,48.810844,0.000000,TERMINATED
-0.170769,0.180550,48.966732,0.000000,TERMINATED
0.704355,0.965945,49.694527,0.000000,TERMINATED
0.548023,0.008259,49.480690,0.000000,TERMINATED
-0.708732,0.354167,49.530861,0.000000,TERMINATED
0.911051,-1.270808,49.681618,0.000000,TERMINATED
-0.099203,-0.316458,49.682858,0.000000,TERMINATED
-0.952293,0.136921,50.000000,0.000751,DETECTED
-0.562191,0.421026,49.463478,0.000000,TERMINATED
0.071209,0.696290,49.890778,0.000000,TERMINATED
0.355210,0.175400,48.686855,0.000000,TERMINATED
-0.344460,-0.632332,50.000000,0.008264,DETECTED
1.450340,-0.222375,47.871487,0.000000,TERMINATED
0.178457,1.263305,49.733395,0.000000,TERMINATED
0.497092,0.241112,48.978352,0.000000,TERMINATED
-0.031166,0.005706,50.000000,0.008264,DETECTED
-0.486890,0.087194,49.991234,0.000000,TERMINATED
-0.178288,0.922387,49.328587,0.000000,TERMINATED
0.080321,1.016052,49.019493,0.000000,TERMINATED
-0.041633,0.051484,50.000000,0.008264,DETECTED
-0.866637,0.312567,49.239735,0.000000,TERMINATED
0.664330,-0.208661,48.367470,0.000000,TERMINATED
-0.067589,-0.029382,49.801300,0.000000,TERMINATED
-0.006742,-0.027415,50.000000,0.008264,DETECTED
-0.751558,-0.651851,48.737942,0.000000,TERMINATED
0.474044,-0.705620,49.825958,0.000000,TERMINATED
-0.511921,-0.643022,50.000000,0.000751,DETECTED
-0.568535,-0.198225,48.768578,0.000000,TERMINATED
-0.318143,0.112243,50.000000,0.000751,DETECTED
-0.404819,-0.309970,49.729389,0.000000,TERMINATED
0.099036,0.265067,49.653427,0.000000,TERMINATED
0.367578,-0.057658,50.000000,0.000751,DETECTED
-0.067952,0.050410,49.248787,0.000000,TERMINATED
-0.238537,-0.137191,50.000000,0.000751,DETECTED
-0.654948,-2.082073,49.540039,0.000000,TERMINATED
0.047889,-0.030417,50.000000,0.000751,DETECTED
0.156452,0.785857,49.762398,0.000000,TERMINATED
-0.806556,0.211150,49.637844,0.000000,TERMINATED
-0.240207,0.055541,50.000000,0.000068,DETECTED
0.765644,-0.037875,48.638023,0.000000,TERMINATED
-0.695737,1.344156,49.728081,0.000000,TERMINATED
-0.464460,-0.319888,49.135983,0.000000,TERMINATED
0.748361,0.321454,50.000000,0.000068,DETECTED
0.165620,-0.031311,50.000000,0.008264,DETECTED
0.264347,-0.066116,48.582592,0.000000,TERMINATED
0.298219,0.132600,50.000000,0.000751,DETECTED
-0.101033,-0.509092,50.000000,0.000068,DETECTED
0.323928,-0.167594,49.919048,0.000000,TERMINATED
0.482423,-0.275172,49.702702,0.000000,TERMINATED
-0.203610,-0.153283,49.803757,0.000000,TERMINATED
0.956183,-0.421747,49.127991,0.000000,TERMINATED
0.041783,0.025721,50.000000,0.008264,DETECTED
-0.004387,0.075944,50.000000,0.008264,DETECTED
0.236700,0.323902,49.280865,0.000000,TERMINATED
0.256287,0.349533,49.592236,0.000000,TERMINATED
-0.107092,0.471505,50.000000,0.000068,DETECTED
-0.222859,-0.498076,49.956688,0.000000,TERMINATED
0.525262,0.335409,49.598312,0.000000,TERMINATED
0.032349,0.113916,50.000000,0.008264,DETECTED
-0.562990,-0.134321,49.147930,0.000000,TERMINATED
0.123852,1.224846,49.924622,0.000000,TERMINATED
-0.119903,0.267285,48.965153,0.000000,TERMINATED
0.172368,0.384477,48.620430,0.000000,TERMINATED
0.338237,0.094011,49.947365,0.000000,TERMINATED
0.531724,-0.782790,50.000000,0.000062,DETECTED
0.807605,-0.197647,49.704700,0.000000,TERMINATED
0.184240,1.111274,49.144386,0.000000,TERMINATED
-0.321777,0.875895,49.267349,0.000000,TERMINATED
0.796549,-0.273455,48.269527,0.000000,TERMINATED
0.661838,-0.900403,48.564587,0.000000,TERMINATED
0.233252,-0.843715,48.976219,0.000000,TERMINATED
-0.144760,-0.207119,50.000000,0.008264,DETECTED
-0.121852,-0.951207,49.497444,0.000000,TERMINATED
0.713662,-0.438192,49.575584,0.000000,TERMINATED
-0.722083,-0.116178,49.531780,0.000000,TERMINATED
-0.351527,0.649622,48.789154,0.000000,TERMINATED
-0.140804,-0.857553,48.687698,0.000000,TERMINATED
0.053309,0.243652,48.170067,0.000000,TERMINATED
0.150980,0.393272,50.000000,0.008264,DETECTED
-0.093871,0.317760,49.749039,0.000000,TERMINATED
-0.685785,-1.139892,49.002487,0.000000,TERMINATED
-0.178762,0.265857,49.172916,0.000000,TERMINATED
-0.244939,-0.208211,48.696297,0.000000,TERMINATED
0.673319,-1.082304,49.020725,0.000000,TERMINATED
0.757912,0.127654,49.694153,0.000000,TERMINATED
0.042779,-0.119935,50.000000,0.008264,DETECTED
0.026969,0.092310,50.000000,0.008264,DETECTED
-0.132516,-0.059608,48.654251,0.000000,TERMINATED
-0.443774,-0.975268,49.409580,0.000000,TERMINATED
0.140088,-0.767457,49.329796,0.000000,TERMINATED
0.144352,0.098435,50.000000,0.000751,DETECTED
0.644969,0.454746,49.071178,0.000000,TERMINATED
-0.652476,-0.040239,49.153416,0.000000,TERMINATED
0.280505,0.095210,50.000000,0.000068,DETECTED
0.691002,0.286266,49.198307,0.000000,TERMINATED
0.260918,-0.081733,50.000000,0.008264,DETECTED
-0.359268,-0.332928,50.000000,0.008264,DETECTED
0.102853,-0.288934,49.892792,0.000000,TERMINATED
-0.749635,0.089272,50.000000,0.000751,DETECTED
0.003080,-0.039567,49.850185,0.000000,TERMINATED
1.166842,0.186925,49.245476,0.000000,TERMINATED
-0.166319,-0.580101,48.346119,0.000000,TERMINATED
-0.192401,0.600038,48.235203,0.000000,TERMINATED
-0.509474,0.106926,49.764366,0.000000,TERMINATED
-0.282365,-0.469860,48.651150,0.000000,TERMINATED
-0.286513,0.145305,49.910839,0.000000,TERMINATED
-0.479324,-0.781009,50.000000,0.000751,DETECTED
0.125694,-0.990566,49.299240,0.000000,TERMINATED
-0.332458,-0.466652,50.000000,0.000751,DETECTED
-0.214668,0.038689,50.000000,0.008264,DETECTED
0.087298,0.073674,50.000000,0.008264,DETECTED
0.075573,0.165345,49.219032,0.000000,TERMINATED
0.660771,0.543838,48.149803,0.000000,TERMINATED
-0.316572,-0.004950,50.000000,0.000068,DETECTED
-0.515315,0.067758,50.000000,0.000751,DETECTED
0.481909,0.111723,50.000000,0.000068,DETECTED
-0.644974,-0.964656,49.334316,0.000000,TERMINATED
0.165119,0.169417,50.000000,0.000751,DETECTED
0.859221,0.846186,49.432243,0.000000,TERMINATED
-0.032003,-0.509274,48.752010,0.000000,TERMINATED
1.240376,-1.185074,49.423679,0.000000,TERMINATED
0.039346,-0.044016,50.000000,0.000751,DETECTED
0.078585,-0.088030,50.000000,0.008264,DETECTED
0.143424,0.400447,49.109413,0.000000,TERMINATED
-0.821462,-0.010048,50.000000,0.000068,DETECTED
-0.159582,-0.200388,50.000000,0.008264,DETECTED
1.230052,0.100711,49.429157,0.000000,TERMINATED
0.586239,1.045372,49.042580,0.000000,TERMINATED
1.551966,-0.303491,48.287170,0.000000,TERMINATED
0.360929,-0.029494,50.000000,0.000068,DETECTED
0.026393,0.202324,49.964096,0.000000,TERMINATED
-1.250282,0.820391,49.208549,0.000000,TERMINATED
0.040391,0.403377,49.436901,0.000000,TERMINATED
-0.134017,0.831516,48.383705,0.000000,TERMINATED
0.079838,-0.278802,49.479950,0.000000,TERMINATED
0.488782,0.218674,49.427280,0.000000,TERMINATED
-0.043072,0.577843,48.347614,0.000000,TERMINATED
-0.068205,-0.157614,49.280525,0.000000,TERMINATED
0.064975,-0.023976,49.382065,0.000000,TERMINATED
0.060429,0.059680,50.000000,0.008264,DETECTED
0.088823,-0.314390,49.216339,0.000000,TERMINATED
0.400580,-0.491333,49.051064,0.000000,TERMINATED
-0.621359,0.184673,50.000000,0.000751,DETECTED
-0.103321,-0.477668,49.102871,0.000000,TERMINATED
0.035240,-0.267935,50.000000,0.000751,DETECTED
0.740204,-0.304052,49.153351,0.000000,TERMINATED
0.617900,-0.211832,49.146164,0.000000,TERMINATED
-0.040198,0.256196,50.000000,0.008264,DETECTED
-0.015593,-0.051394,50.000000,0.000068,DETECTED
-0.918226,-0.737486,48.676960,0.000000,TERMINATED
-0.163579,0.350265,50.000000,0.000068,DETECTED
0.064700,0.329342,49.751568,0.000000,TERMINATED
-0.383529,0.903201,49.340698,0.000000,TERMINATED
0.065158,-0.404923,49.432117,0.000000,TERMINATED
-0.125229,0.700257,48.938568,0.000000,TERMINATED
-1.523525,0.130027,48.712639,0.000000,TERMINATED
-0.769149,0.032542,48.938560,0.000000,TERMINATED
1.038781,-0.304487,50.000000,0.000068,DETECTED
0.001544,-1.094262,50.000000,0.000068,DETECTED
-1.040356,0.485129,49.892952,0.000000,TERMINATED
0.000584,-0.034868,50.000000,0.008264,DETECTED
0.122712,0.101472,50.000000,0.000068,DETECTED
-0.197800,0.146310,49.778667,0.000000,TERMINATED
-0.561688,-0.375806,49.150852,0.000000,TERMINATED
-0.809884,0.342505,48.213676,0.000000,TERMINATED
0.464054,0.013555,49.608978,0.000000,TERMINATED
0.368603,0.174724,50.000000,0.000751,DETECTED
0.099042,-0.217305,49.027081,0.000000,TERMINATED
-1.180008,0.090837,49.501942,0.000000,TERMINATED
0.210953,-0.268172,50.000000,0.000751,DETECTED
0.621163,-0.264782,50.000000,0.008264,DETECTED
0.386073,0.518928,48.442776,0.000000,TERMINATED
0.007713,-0.053407,50.000000,0.008264,DETECTED
1.127282,-0.010806,50.000000,0.000068,DETECTED
0.938833,-0.983792,49.399685,0.000000,TERMINATED
-0.055761,0.029927,50.000000,0.008264,DETECTED
0.078009,-0.927780,50.000000,0.000068,DETECTED
0.208471,0.051604,49.433014,0.000000,TERMINATED
-0.013477,-0.224274,50.000000,0.008264,DETECTED
-0.259811,-0.588191,49.102036,0.000000,TERMINATED
-0.079667,0.515879,50.000000,0.000751,DETECTED
-0.219133,0.119006,49.497707,0.000000,TERMINATED
-0.365167,-0.483805,48.824711,0.000000,TERMINATED
0.042140,-0.381735,48.943836,0.000000,TERMINATED
-0.501653,0.058452,49.520348,0.000000,TERMINATED
0.108893,0.038027,50.000000,0.008264,DETECTED
0.973464,0.368440,49.467045,0.000000,TERMINATED
0.299498,0.588087,50.000000,0.000751,DETECTED
0.584214,-0.816195,48.987698,0.000000,TERMINATED
0.242479,0.348641,49.372383,0.000000,TERMINATED
-0.495553,0.017381,49.032375,0.000000,TERMINATED
-1.195698,-0.083969,48.683197,0.000000,TERMINATED
-0.127558,-0.014519,50.000000,0.000751,DETECTED
0.659336,0.948176,49.514645,0.000000,TERMINATED
-0.537868,0.014349,49.697300,0.000000,TERMINATED
-0.224193,0.735843,47.681427,0.000000,TERMINATED
0.184022,-0.052565,48.728962,0.000000,TERMINATED
-0.618557,-0.182458,49.658958,0.000000,TERMINATED
0.141383,0.744952,48.766132,0.000000,TERMINATED
-0.050295,0.061163,50.000000,0.000751,DETECTED
0.537378,0.360226,50.000000,0.008264,DETECTED
0.532023,0.507185,49.210396,0.000000,TERMINATED
0.197417,1.123390,49.594105,0.000000,TERMINATED
0.904322,0.626067,48.551483,0.000000,TERMINATED
-0.498998,-0.522936,48.321644,0.000000,TERMINATED
0.757812,0.792644,49.905479,0.000000,TERMINATED
-0.072841,-0.177312,50.000000,0.000068,DETECTED
-0.351885,0.061991,50.000000,0.008264,DETECTED
0.667583,-0.353907,49.708454,0.000000,TERMINATED
0.755507,-1.152041,49.285168,0.000000,TERMINATED
0.261716,-0.231429,49.142521,0.000000,TERMINATED
0.068401,-1.323483,48.716671,0.000000,TERMINATED
-0.297471,1.280199,48.695366,0.000000,TERMINATED
0.504595,-0.657645,50.000000,0.000751,DETECTED
0.053437,-0.059450,48.909821,0.000000,TERMINATED
-0.045762,0.036800,50.000000,0.008264,DETECTED
0.310977,-0.753116,49.184555,0.000000,TERMINATED
0.565182,0.191316,49.995621,0.000000,TERMINATED
-0.009770,-0.395063,50.000000,0.008264,DETECTED
-0.496278,0.795889,49.813297,0.000000,TERMINATED
0.108511,-0.310607,48.177666,0.000000,TERMINATED
-0.036393,-0.040873,50.000000,0.008264,DETECTED
0.048731,0.264860,49.723526,0.000000,TERMINATED
0.009767,1.168294,49.423012,0.000000,TERMINATED
0.355305,-0.338600,50.000000,0.000068,DETECTED
0.054426,0.061749,49.708626,0.000000,TERMINATED
-0.953348,0.737439,50.000000,0.000068,DETECTED
0.204849,0.664385,50.000000,0.000068,DETECTED
0.304718,-0.941304,49.820259,0.000000,TERMINATED
0.258962,-0.923589,49.305824,0.000000,TERMINATED
0.012791,-0.589323,49.653118,0.000000,TERMINATED
0.092241,-0.873763,49.523586,0.000000,TERMINATED
1.304120,0.573745,49.542614,0.000000,TERMINATED
0.126675,-0.349568,48.196434,0.000000,TERMINATED
-0.201990,-0.158066,49.106617,0.000000,TERMINATED
-0.940353,0.529550,48.949558,0.000000,TERMINATED
-0.902382,0.166883,49.512634,0.000000,TERMINATED
0.423082,0.382770,49.607994,0.000000,TERMINATED
1.392347,0.430579,48.663975,0.000000,TERMINATED
-0.044485,0.104498,50.000000,0.008264,DETECTED
0.400242,-0.337529,50.000000,0.008264,DETECTED
0.677044,0.343231,48.885620,0.000000,TERMINATED
-0.004835,0.020080,50.000000,0.008264,DETECTED
1.000057,-0.071724,49.099461,0.000000,TERMINATED
-0.798420,-0.990812,49.020775,0.000000,TERMINATED
-0.947688,0.382794,48.578487,0.000000,TERMINATED
-0.628878,-0.001463,49.161640,0.000000,TERMINATED
-0.006474,-0.005167,50.000000,0.008264,DETECTED
-0.271616,0.610621,48.067547,0.000000,TERMINATED
-0.130621,-0.750301,48.660568,0.000000,TERMINATED
-0.140920,0.088442,50.000000,0.008264,DETECTED
-0.169619,-0.198954,50.000000,0.000068,DETECTED
0.242814,-0.748655,48.852024,0.000000,TERMINATED
-0.595002,-0.660518,49.851494,0.000000,TERMINATED
0.776695,-0.538974,49.004299,0.000000,TERMINATED
-0.860161,0.911129,49.607208,0.000000,TERMINATED
-0.306523,1.302588,48.833618,0.000000,TERMINATED
-0.022715,0.509785,49.141960,0.000000,TERMINATED
-0.579609,-0.278436,49.484467,0.000000,TERMINATED
-0.193129,-0.565861,49.607796,0.000000,TERMINATED
-0.155870,-0.063873,48.829838,0.000000,TERMINATED
0.363425,0.072160,48.743114,0.000000,TERMINATED
0.112277,0.341528,49.311378,0.000000,TERMINATED
-0.069116,0.098228,49.422703,0.000000,TERMINATED
-0.528092,-0.845243,48.287285,0.000000,TERMINATED
0.290716,0.470933,49.371017,0.000000,TERMINATED
-0.650510,0.042709,50.000000,0.000751,DETECTED
0.260982,-0.078724,50.000000,0.000751,DETECTED
0.100522,0.358554,49.232533,0.000000,TERMINATED
0.377115,0.024534,50.000000,0.000068,DETECTED
-0.163866,-0.286327,48.814861,0.000000,TERMINATED
0.186840,0.049842,49.732178,0.000000,TERMINATED
0.215599,-0.260500,50.000000,0.000068,DETECTED
-0.780577,-0.175230,49.388508,0.000000,TERMINATED
0.335640,-0.027451,50.000000,0.000068,DETECTED
0.622482,-0.232045,49.478352,0.000000,TERMINATED
0.459410,0.324718,49.818752,0.000000,TERMINATED
0.055959,-0.099566,49.515068,0.000000,TERMINATED
-0.147700,0.079058,50.000000,0.000751,DETECTED
-0.729198,0.006187,49.611000,0.000000,TERMINATED
0.996104,0.347736,48.563866,0.000000,TERMINATED
0.365912,0.575944,49.092934,0.000000,TERMINATED
0.882772,0.085390,48.449348,0.000000,TERMINATED
0.536687,0.013435,49.833572,0.000000,TERMINATED
-0.064074,0.344864,49.486786,0.000000,TERMINATED
-0.144659,-0.100669,50.000000,0.008264,DETECTED
0.910034,-0.097364,49.679226,0.000000,TERMINATED
0.110952,-0.272977,49.545380,0.000000,TERMINATED
-1.109014,0.949768,48.857059,0.000000,TERMINATED
-0.022299,0.479684,49.607475,0.000000,TERMINATED
-0.299116,0.183234,49.364723,0.000000,TERMINATED
-0.053219,0.363416,50.000000,0.008264,DETECTED
-0.425299,-0.772976,50.000000,0.000751,DETECTED
0.099299,0.278173,49.873226,0.000000,TERMINATED
0.015803,-0.034946,49.609650,0.000000,TERMINATED
0.554248,-0.373815,49.239014,0.000000,TERMINATED
0.456301,-0.347423,48.684975,0.000000,TERMINATED
-0.281842,0.423306,48.205189,0.000000,TERMINATED
-0.697184,-1.024460,49.434406,0.000000,TERMINATED
-0.541755,-0.057381,49.948242,0.000000,TERMINATED
0.146715,-0.266992,50.000000,0.000062,DETECTED
0.095728,-0.167982,50.000000,0.008264,DETECTED
-0.013766,0.061945,50.000000,0.008264,DETECTED
-0.153088,0.220174,50.000000,0.008264,DETECTED
-0.824917,0.647658,49.305134,0.000000,TERMINATED
-0.790267,-0.286177,48.388542,0.000000,TERMINATED
-0.099240,0.756619,49.105156,0.000000,TERMINATED
0.106051,0.471952,50.000000,0.000068,DETECTED
0.911290,0.219273,48.756607,0.000000,TERMINATED
0.778528,-0.200838,49.362938,0.000000,TERMINATED
-0.004270,0.557785,49.902229,0.000000,TERMINATED
-0.434006,-0.305892,49.915836,0.000000,TERMINATED
-0.287018,0.313849,48.398376,0.000000,TERMINATED
