X,Y,Z,Weight,State
-1.201534,-0.175367,50.000000,0.031250,DETECTED
0.173207,-0.077555,50.000000,0.062500,DETECTED
-0.648331,-0.623251,50.000000,0.003906,DETECTED
-0.660301,-1.951880,46.096256,0.000000,TERMINATED
0.991060,-1.273089,50.000000,0.015625,DETECTED
0.194269,-0.429142,50.000000,0.250000,DETECTED
-0.000659,-0.065914,50.000000,0.125000,DETECTED
-1.031259,4.717178,49.145283,0.000000,TERMINATED
0.124003,-1.045159,50.000000,0.015625,DETECTED
-0.440182,-0.642002,50.000000,0.031250,DETECTED
-0.009484,1.698508,50.000000,0.000122,DETECTED
-0.765526,0.717938,47.982517,0.000000,TERMINATED
0.153759,-0.627884,50.000000,0.015625,DETECTED
0.517309,-0.006756,50.000000,0.250000,DETECTED
-0.814152,-0.882494,50.000000,0.000061,DETECTED
-0.071649,-0.702857,49.194267,0.000000,TERMINATED
0.983318,-0.852110,49.598972,0.000000,TERMINATED
0.675761,0.573184,50.000000,0.015625,DETECTED
0.204330,-0.417570,48.633904,0.000000,TERMINATED
-1.933630,-0.017243,49.231659,0.000000,TERMINATED
0.133576,0.499686,49.093483,0.000000,TERMINATED
0.544301,3.237648,48.117329,0.000000,TERMINATED
1.277016,-0.013087,48.975624,0.000000,TERMINATED
0.948970,0.295195,45.955154,0.000000,TERMINATED
-0.019384,0.528505,50.000000,0.062500,DETECTED
-1.678384,-0.057075,47.784840,0.000000,TERMINATED
0.663054,0.239969,50.000000,0.007812,DETECTED
2.883414,1.958877,48.858616,0.000000,TERMINATED
0.118118,0.147344,50.000000,0.250000,DETECTED
-0.009258,0.081112,50.000000,0.250000,DETECTED
-0.024917,0.105464,50.000000,0.250000,DETECTED
0.072598,0.106940,50.000000,0.250000,DETECTED
0.124936,-0.611408,50.000000,0.125000,DETECTED
0.123071,0.024282,50.000000,0.062500,DETECTED
-0.847237,1.606300,48.311275,0.000000,TERMINATED
-1.074959,1.694699,50.000000,0.000977,DETECTED
-0.300059,-0.304799,50.000000,0.125000,DETECTED
-0.947315,0.728550,50.000000,0.003906,DETECTED
-0.401151,-0.610750,50.000000,0.015625,DETECTED
0.795475,0.574380,50.000000,0.000977,DETECTED
-0.979013,-0.393205,50.000000,0.000977,DETECTED
2.376272,2.313147,48.854202,0.000000,TERMINATED
0.293291,0.663014,48.787968,0.000000,TERMINATED
0.099627,-1.125452,48.433941,0.000000,TERMINATED
-0.453314,1.189440,47.442711,0.000000,TERMINATED
-0.487979,-1.001348,48.019257,0.000000,TERMINATED
-0.048736,1.075103,50.000000,0.062500,DETECTED
-0.315374,-0.165590,49.107090,0.000000,TERMINATED
-0.311048,-0.172274,50.000000,0.062500,DETECTED
0.006045,-0.611219,50.000000,0.062500,DETECTED
0.473289,0.102758,50.000000,0.125000,DETECTED
-1.051501,-0.371590,49.087242,0.000000,TERMINATED
0.412067,-0.579353,48.708031,0.000000,TERMINATED
-1.355445,-0.586334,49.301937,0.000000,TERMINATED
-0.192171,-0.066880,50.000000,0.062500,DETECTED
0.647952,0.218828,50.000000,0.125000,DETECTED
